Team,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,SALARY
MIL,MarJon Beauchamp,24,SF,26,0,4.7,0.7,1.8,0.383,0.3,0.8,0.333,0.4,1,0.423,0.457,0.3,0.5,0.75,0.3,1,1.2,0.3,0.1,0,0.5,0.4,2,,2733720
LAC,MarJon Beauchamp,24,SF,3,0,5.7,1.3,2.3,0.571,0.7,1,0.667,0.7,1.3,0.5,0.714,0.7,1.3,0.5,0.7,0.3,1,0.7,0,0,0.3,0.7,4,,2733720
NYK,MarJon Beauchamp,24,SF,6,0,2.8,0.8,1.8,0.455,0.2,0.8,0.2,0.7,1,0.667,0.5,0.7,0.7,1,0.3,1.2,1.5,0.2,0.2,0,0.2,0.3,2.5,,2733720
CHO,Mark Williams,23,C,44,41,26.6,6.1,10.2,0.604,0,0.1,0,6.1,10.1,0.609,0.604,3,3.7,0.804,3,7.2,10.2,2.5,0.7,1.2,1.6,2.4,15.3,,4094280
SAC,Markelle Fultz,26,PG,21,0,8.8,1.3,3.2,0.418,0.2,0.4,0.5,1.1,2.8,0.407,0.448,0,0,1,0.3,0.7,1,1.3,0.5,0.1,0.7,0.6,2.9,,731831
2TM,Markieff Morris,35,PF,15,2,11,1.4,4.7,0.3,0.6,2.4,0.25,0.8,2.3,0.353,0.364,0.3,0.4,0.833,0.2,1.3,1.5,1.4,0.1,0.2,0.3,1.1,3.7,,2087519
DAL,Markieff Morris,35,PF,7,0,5.9,0.7,3.1,0.227,0.3,1.9,0.154,0.4,1.3,0.333,0.273,0,0,,0,1.1,1.1,0.6,0.1,0.1,0.3,0.3,1.7,,2087519
LAL,Markieff Morris,35,PF,8,2,15.5,2,6,0.333,0.9,2.9,0.304,1.1,3.1,0.36,0.406,0.6,0.8,0.833,0.4,1.5,1.9,2.1,0.1,0.3,0.4,1.8,5.5,,2087519
2TM,Marvin Bagley III,25,PF,31,2,8.5,1.8,3.4,0.519,0.1,0.6,0.158,1.7,2.8,0.598,0.533,0.7,1.1,0.657,1.2,1.5,2.7,0.4,0.3,0.3,0.4,0.6,4.4,,12500000
WAS,Marvin Bagley III,25,C,19,1,8.7,2,3.7,0.535,0.1,0.5,0.2,1.9,3.2,0.59,0.549,0.8,1.2,0.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,,12500000
MEM,Marvin Bagley III,25,PF,12,1,8.3,1.4,2.9,0.486,0.1,0.8,0.111,1.3,2.2,0.615,0.5,0.7,1,0.667,0.9,1.4,2.3,0.3,0.2,0.3,0.1,0.5,3.6,,12500000
PHO,Mason Plumlee,34,C,74,21,17.6,1.7,2.7,0.619,0,0.1,0,1.7,2.7,0.631,0.619,1.1,1.7,0.648,1.6,4.6,6.1,1.8,0.4,0.6,0.8,2.1,4.5,,2087519
CHI,Matas Buzelis,20,SF,80,31,18.9,3.2,6.9,0.454,1.2,3.3,0.361,2,3.6,0.54,0.541,1.1,1.4,0.815,0.7,2.8,3.5,1,0.4,0.9,0.9,1.6,8.6,ROY-7,5195520
POR,Matisse Thybulle,27,SG,15,5,20.8,2.8,5.9,0.477,1.4,3.2,0.438,1.4,2.7,0.525,0.597,0.5,1,0.467,0.9,2.5,3.5,1.9,2.2,0.6,0.9,0.9,7.5,,11025160
NYK,Matt Ryan,27,SF,19,0,3.6,0.5,1.6,0.323,0.3,1,0.316,0.2,0.6,0.333,0.419,0.1,0.1,1,0,0.4,0.4,0.2,0.1,0,0.2,0.1,1.5,,1919558
2TM,Max Christie,21,SG,78,36,27.3,3.2,7.6,0.427,1.5,4,0.366,1.8,3.5,0.496,0.525,1.7,1.9,0.855,0.5,2.8,3.3,1.9,0.8,0.4,1.1,1.5,9.6,,7142857
LAL,Max Christie,21,SG,46,25,25.1,2.8,6.3,0.444,1.3,3.5,0.368,1.5,2.7,0.544,0.549,1.6,1.9,0.851,0.5,2.1,2.7,1.4,0.8,0.5,0.8,1.6,8.5,,7142857
DAL,Max Christie,21,SG,32,11,30.4,3.9,9.4,0.411,1.7,4.7,0.364,2.2,4.7,0.457,0.502,1.8,2,0.862,0.4,3.8,4.2,2.5,0.9,0.3,1.5,1.3,11.2,,7142857
