Team,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,SALARY
POR,Rayan Rupert,20,SG,52,0,8.8,1.1,2.7,0.408,0.3,1.1,0.271,0.8,1.6,0.506,0.465,0.4,0.6,0.767,0.5,0.8,1.3,0.5,0.3,0.1,0.6,0.7,3,,1891857
HOU,Reed Sheppard,20,PG,52,3,12.6,1.6,4.6,0.351,0.9,2.7,0.338,0.7,1.9,0.371,0.452,0.3,0.3,0.813,0.3,1.2,1.5,1.4,0.7,0.3,0.7,1,4.4,,10098960
PHI,Reggie Jackson,34,PG,31,1,12.4,1.7,4.3,0.391,0.8,2.4,0.338,0.9,1.9,0.458,0.485,0.2,0.3,0.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,,2087519
WAS,Richaun Holmes,31,PF,31,7,17.2,2.9,4.5,0.647,0,0.1,0,2.9,4.4,0.662,0.647,1.6,1.9,0.833,2,3.7,5.7,1.4,0.3,0.7,0.7,1.6,7.4,,12648321
PHI,Ricky Council IV,23,SF,73,12,17.1,2.4,6.3,0.382,0.8,2.9,0.258,1.7,3.4,0.488,0.442,1.7,2.1,0.804,0.7,2.2,2.9,1.3,0.4,0.2,0.7,0.9,7.3,,1891857
TOR,RJ Barrett,24,SF,58,58,32.2,7.9,16.9,0.468,1.8,5.3,0.35,6.1,11.7,0.522,0.523,3.4,5.4,0.63,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,,25794643
MIN,Rob Dillingham,20,PG,49,1,10.5,1.9,4.3,0.441,0.5,1.5,0.338,1.4,2.8,0.496,0.5,0.2,0.3,0.533,0.2,0.8,1,2,0.4,0,1.1,0.8,4.5,,6262920
POR,Robert Williams,27,C,20,3,17.6,2.5,3.9,0.641,0.1,0.2,0.333,2.5,3.8,0.653,0.647,0.8,0.9,0.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8,,12428571
DET,Ron Holland,19,SF,81,2,15.6,2.4,5.1,0.474,0.4,1.9,0.238,2,3.3,0.608,0.517,1.1,1.5,0.754,0.5,2.2,2.7,1,0.6,0.2,0.9,1.7,6.4,,8245320
PHO,Royce O'Neale,31,SF,75,22,24.5,3.2,7.6,0.423,2.4,5.9,0.406,0.8,1.7,0.481,0.58,0.3,0.3,0.731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2,9.1,,9821429
MIN,Rudy Gobert,32,C,72,72,33.2,4.7,7.1,0.669,0,0,,4.7,7.1,0.669,0.669,2.6,3.8,0.674,3.7,7.2,10.9,1.8,0.8,1.4,1.2,2.5,12,"DPOY-13,DEF2",43827587
LAL,Rui Hachimura,26,PF,59,57,31.7,5,9.8,0.509,1.7,4.2,0.413,3.2,5.6,0.581,0.597,1.5,1.9,0.77,1.3,3.7,5,1.4,0.8,0.4,0.8,1.8,13.1,,17000000
DEN,Russell Westbrook,36,PG,75,36,27.9,5,11.1,0.449,1.3,3.9,0.323,3.7,7.2,0.517,0.505,2.1,3.1,0.661,1.4,3.6,4.9,6.1,1.4,0.5,3.2,2.5,13.3,6MOY-7,3303771
PHO,Ryan Dunn,22,SF,74,44,19.1,2.8,6.4,0.43,1.1,3.6,0.311,1.7,2.9,0.577,0.516,0.3,0.5,0.487,1.2,2.4,3.6,0.8,0.6,0.5,0.5,2.2,6.9,,2538240
MIL,Ryan Rollins,22,PG,56,19,14.6,2.4,4.8,0.487,0.9,2.1,0.408,1.5,2.7,0.55,0.577,0.6,0.8,0.8,0.4,1.6,1.9,1.9,0.8,0.3,0.9,1.6,6.2,,491887
BOS,Sam Hauser,27,PF,71,19,21.7,3,6.7,0.451,2.3,5.6,0.416,0.7,1.1,0.64,0.627,0.2,0.2,1,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,,2092344
CLE,Sam Merrill,28,SG,71,4,19.7,2.4,6,0.406,1.9,5.2,0.372,0.5,0.8,0.625,0.567,0.4,0.4,0.966,0.5,1.7,2.2,1.5,0.7,0.2,0.5,1.7,7.2,,2164993
SAS,Sandro Mamukelashvili,25,PF,61,0,11.2,2.3,4.6,0.502,1,2.6,0.373,1.3,2,0.675,0.609,0.7,1,0.741,1,2,3.1,0.8,0.4,0.3,0.4,1,6.3,,2087519
MEM,Santi Aldama,24,PF,65,16,25.5,4.8,10,0.483,1.8,5,0.368,3,5,0.599,0.576,1,1.4,0.691,1.4,5,6.4,2.9,0.8,0.4,1.1,1.2,12.5,,3960531
POR,Scoot Henderson,20,PG,66,10,26.7,4.3,10.4,0.419,1.6,4.5,0.354,2.8,5.9,0.469,0.496,2.4,3.1,0.767,0.8,2.2,3,5.1,1,0.2,2.7,2.7,12.7,,10259160
TOR,Scottie Barnes,23,PF,65,65,32.8,7.3,16.4,0.446,1.2,4.3,0.271,6.1,12,0.508,0.482,3.5,4.6,0.755,1.7,6,7.7,5.8,1.4,1,2.8,1.7,19.3,,10130980
MEM,Scotty Pippen Jr.,24,PG,79,21,21.3,3.6,7.5,0.48,1.1,2.8,0.397,2.5,4.7,0.528,0.553,1.5,2.2,0.713,0.8,2.5,3.3,4.4,1.3,0.4,1.7,2.6,9.9,,2087519
CHO,Seth Curry,34,SG,68,14,15.6,2.4,5,0.478,1.2,2.7,0.456,1.2,2.4,0.503,0.599,0.5,0.6,0.846,0.4,1.3,1.7,0.9,0.4,0.1,0.5,0.9,6.5,,2087519
POR,Shaedon Sharpe,21,SG,72,52,31.3,6.9,15.3,0.452,2,6.6,0.311,4.9,8.8,0.557,0.519,2.6,3.4,0.785,0.9,3.6,4.5,2.8,0.9,0.2,2.1,1.7,18.5,,6614160
OKC,Shai Gilgeous-Alexander,26,PG,76,76,34.2,11.3,21.8,0.519,2.1,5.7,0.375,9.2,16.1,0.571,0.569,7.9,8.8,0.898,0.9,4.1,5,6.4,1.7,1,2.4,2.2,32.7,"MVP-1,DPOY-10,CPOY-8,AS,NBA1",35859950
2TM,Shake Milton,28,SG,57,2,14.7,2,4.5,0.453,0.7,1.9,0.358,1.4,2.6,0.52,0.528,0.8,1,0.797,0.5,1.3,1.8,1.8,0.4,0.1,0.7,1.2,5.5,,2875000
BRK,Shake Milton,28,SG,27,1,18.2,2.7,5.8,0.465,1,2.7,0.389,1.7,3.1,0.529,0.554,0.9,1.2,0.758,0.6,1.3,1.9,2.4,0.6,0,0.7,1.6,7.4,,2875000
LAL,Shake Milton,28,SG,30,1,11.5,1.4,3.2,0.433,0.3,1.1,0.294,1.1,2.1,0.508,0.485,0.7,0.9,0.846,0.5,1.3,1.8,1.3,0.3,0.1,0.7,0.8,3.9,,2875000
2TM,Sidy Cissoko,20,SF,22,0,5.2,0.6,1.4,0.433,0.1,0.6,0.231,0.5,0.8,0.588,0.483,0.1,0.4,0.333,0.4,0.6,1,0.7,0.1,0,0.5,0.5,1.5,,1891857
SAS,Sidy Cissoko,20,SF,17,0,3.2,0.5,1.1,0.5,0.2,0.4,0.429,0.4,0.6,0.545,0.583,0.1,0.4,0.167,0.2,0.4,0.6,0.4,0.1,0,0.1,0.4,1.3,,1891857
POR,Sidy Cissoko,20,SF,5,0,12,0.8,2.4,0.333,0,1.2,0,0.8,1.2,0.667,0.333,0.4,0.6,0.667,1,1.2,2.2,1.8,0.2,0.2,1.8,0.8,2,,1891857
DET,Simone Fontecchio,29,SF,75,0,16.5,2,5,0.402,1,3,0.335,1,1.9,0.507,0.504,0.9,1.1,0.833,0.7,2.2,2.9,0.9,0.4,0.2,0.7,1.3,5.9,,7692308
DAL,Spencer Dinwiddie,31,PG,79,30,27,3.6,8.6,0.416,1.4,4.1,0.334,2.2,4.5,0.492,0.496,2.5,3.1,0.802,0.2,2.4,2.6,4.4,0.9,0.2,1.3,1.5,11,,2087519
MIL,Stanley Umude,25,SG,22,0,3.9,0.2,1.2,0.192,0.1,0.7,0.2,0.1,0.5,0.182,0.25,0.1,0.2,0.5,0.2,0.6,0.8,0.2,0.1,0.3,0.1,0.4,0.7,,2120693
GSW,Stephen Curry,36,PG,70,70,32.2,8.1,18,0.448,4.4,11.2,0.397,3.6,6.8,0.534,0.572,4,4.3,0.933,0.6,3.9,4.4,6,1.1,0.4,2.9,1.4,24.5,"MVP-9,CPOY-5,AS,NBA2",55761216
SAS,Stephon Castle,20,SG,81,47,26.7,5.2,12.2,0.428,1.2,4.1,0.285,4,8.1,0.501,0.476,3.1,4.2,0.724,1.1,2.6,3.7,4.1,0.9,0.3,2.2,2,14.7,ROY-1,9131760
HOU,Steven Adams,31,C,58,3,13.7,1.6,2.9,0.545,0,0,0,1.6,2.8,0.552,0.545,0.7,1.6,0.462,2.9,2.8,5.6,1.1,0.4,0.5,0.9,1,3.9,,12600000
UTA,Svi Mykhailiuk,27,SF,38,13,20,3.1,7.9,0.391,1.8,5.3,0.345,1.3,2.6,0.485,0.507,0.7,0.9,0.8,0.6,1.8,2.4,2,0.5,0.2,1.4,1.1,8.8,,3500000
IND,T.J. McConnell,32,PG,79,1,17.9,4.1,7.9,0.519,0.2,0.6,0.306,3.9,7.3,0.537,0.531,0.7,1,0.74,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1,9.1,,9300000
CHO,Taj Gibson,39,C,37,11,11.1,1.3,2.6,0.495,0,0.1,0.5,1.2,2.5,0.495,0.5,0.3,0.5,0.6,1.4,1.9,3.2,0.6,0.2,0.5,0.7,1.5,2.9,,2087519
CHI,Talen Horton-Tucker,24,SG,58,0,12.5,2.3,5,0.457,0.7,2.1,0.336,1.6,2.9,0.544,0.527,1.2,1.7,0.735,0.3,1.4,1.7,1.4,0.4,0.2,0.7,1,6.5,,2087519
HOU,Tari Eason,23,PF,57,16,24.9,4.8,9.8,0.487,1.1,3.2,0.342,3.7,6.6,0.557,0.543,1.4,1.8,0.76,2.2,4.1,6.4,1.5,1.7,0.9,1.1,2.4,12,,3695160
MIL,Taurean Prince,30,SF,80,73,27.1,2.9,6.4,0.457,1.8,4.2,0.439,1.1,2.2,0.492,0.6,0.5,0.6,0.813,0.4,3.2,3.6,1.9,1,0.2,1,2.1,8.2,,2087519
UTA,Taylor Hendricks,21,PF,3,3,25,1.3,6,0.222,1,4,0.25,0.3,2,0.167,0.306,1,1.3,0.75,1.7,3.3,5,0.7,1.7,1.3,0.7,2.7,4.7,,5848680
2TM,Terance Mann,28,SG,67,13,21.1,3.1,6.2,0.496,0.9,2.4,0.368,2.2,3.7,0.58,0.569,0.7,1,0.691,1,2,3,1.8,0.7,0.2,0.7,1.9,7.7,,11423077
LAC,Terance Mann,28,SG,37,12,19.8,2.4,5.3,0.446,0.7,2,0.347,1.6,3.2,0.508,0.513,0.6,0.9,0.719,0.9,2,2.9,1.6,0.8,0.3,0.7,1.8,6,,11423077
ATL,Terance Mann,28,SG,30,1,22.7,3.9,7.3,0.541,1.1,2.9,0.386,2.8,4.3,0.646,0.619,0.8,1.2,0.667,1.2,1.9,3.1,2.1,0.6,0.1,0.7,2,9.8,,11423077
MIN,Terrence Shannon Jr.,24,SG,32,1,10.6,1.7,3.6,0.482,0.3,1,0.355,1.4,2.6,0.53,0.531,0.5,0.7,0.81,0.3,1.2,1.5,1,0.2,0.2,0.5,0.8,4.3,,2546640
MIA,Terry Rozier,30,PG,64,23,25.9,3.9,9.9,0.391,1.4,4.8,0.295,2.5,5.1,0.48,0.462,1.4,1.7,0.852,0.7,3,3.7,2.6,0.6,0.2,1.2,1.1,10.6,,24924126
2TM,Thomas Bryant,27,C,66,8,14.6,2.5,4.9,0.508,0.7,2.2,0.324,1.7,2.6,0.665,0.583,0.8,1,0.859,1.3,2.5,3.8,0.8,0.4,0.6,0.5,1.2,6.5,,2087519
MIA,Thomas Bryant,27,C,10,0,11.5,1.2,2.8,0.429,0.6,1.7,0.353,0.6,1.1,0.545,0.536,1.1,1.1,1,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1,,2087519
IND,Thomas Bryant,27,C,56,8,15.1,2.7,5.2,0.515,0.8,2.3,0.321,1.9,2.9,0.673,0.587,0.8,0.9,0.83,1.4,2.5,3.9,0.9,0.5,0.6,0.5,1.2,6.9,,2087519
CHO,Tidjane Salaün,19,PF,60,10,20.7,1.9,5.8,0.33,1,3.4,0.283,0.9,2.3,0.4,0.414,1.1,1.6,0.713,1.2,3.5,4.7,1.2,0.5,0.2,1,1.4,5.9,,7488720
DET,Tim Hardaway Jr.,32,SG,77,77,28,3.6,8.8,0.406,2.2,5.9,0.368,1.4,2.9,0.484,0.529,1.6,1.9,0.855,0.2,2.1,2.4,1.6,0.5,0.1,0.6,1.2,11,,16193183
DET,Tobias Harris,32,PF,73,73,31.6,5.3,11,0.477,1.2,3.6,0.345,4,7.4,0.542,0.534,2,2.3,0.861,0.9,5,5.9,2.2,1,0.8,1.2,1.9,13.7,,25365854
IND,Tony Bradley,27,C,14,0,8.1,2.1,3.2,0.644,0.1,0.2,0.333,2,3,0.667,0.656,0.1,0.4,0.333,1.3,1.7,3,0.4,0.1,0.6,0.4,0.8,4.4,,330394
2TM,Torrey Craig,34,SF,26,4,12.1,1.5,3.5,0.422,0.9,2.5,0.364,0.5,0.9,0.583,0.556,0.3,0.5,0.667,1,1.8,2.8,0.7,0.3,0.5,0.3,1.3,4.2,,2845342
CHI,Torrey Craig,34,SF,9,1,12.6,2.4,5,0.489,1.7,3.9,0.429,0.8,1.1,0.7,0.656,0.3,0.4,0.75,0.9,1.9,2.8,0.6,0.2,0.1,0,1.7,6.9,,2845342
BOS,Torrey Craig,34,SF,17,3,11.8,0.9,2.6,0.356,0.5,1.8,0.29,0.4,0.8,0.5,0.456,0.3,0.5,0.625,1.1,1.7,2.8,0.7,0.4,0.6,0.5,1.1,2.7,,2845342
POR,Toumani Camara,24,PF,78,78,32.7,4.2,9.2,0.458,1.7,4.6,0.375,2.5,4.6,0.542,0.552,1.2,1.6,0.722,2.2,3.6,5.8,2.2,1.5,0.6,1.4,2.9,11.3,"DPOY-9,DEF2",1891857
ATL,Trae Young,26,PG,76,76,36,7.4,18.1,0.411,2.9,8.4,0.34,4.6,9.7,0.474,0.491,6.5,7.4,0.875,0.5,2.6,3.1,11.6,1.2,0.2,4.7,1.9,24.2,"CPOY-4,AS",43031940
GSW,Trayce Jackson-Davis,24,C,62,37,15.6,2.8,4.9,0.576,0,0,0,2.8,4.8,0.582,0.576,1,1.6,0.578,2,3,5,1.7,0.4,0.6,0.7,1.2,6.6,,1891857
2TM,Tre Jones,25,PG,46,9,19.7,2.8,5.2,0.538,0.4,1,0.396,2.4,4.1,0.574,0.578,1.2,1.5,0.821,0.7,1.8,2.5,4.2,0.8,0.2,0.8,1.2,7.2,,9104167
SAS,Tre Jones,25,PG,28,0,16.1,1.6,3.3,0.484,0.3,0.9,0.308,1.3,2.4,0.552,0.527,0.9,1.2,0.758,0.5,1.5,2.1,3.7,0.6,0.2,0.8,1.2,4.4,,9104167
CHI,Tre Jones,25,PG,18,9,25.3,4.6,8.1,0.572,0.6,1.2,0.5,4,6.8,0.585,0.61,1.7,1.9,0.882,0.9,2.3,3.2,4.9,1.1,0.3,0.8,1.2,11.5,,9104167
CHO,Tre Mann,23,PG,13,0,24.5,5.4,12.4,0.435,1.8,4.6,0.4,3.5,7.8,0.455,0.509,1.5,1.6,0.905,0.9,2,2.9,3,0.5,0.3,1.9,1.8,14.1,,4908189
BRK,Trendon Watford,24,PF,44,6,20.8,3.7,8,0.469,0.7,2,0.33,3.1,6,0.515,0.51,2.1,2.8,0.762,0.8,2.8,3.6,2.6,0.6,0.3,1.9,2.2,10.2,,2726603
SAC,Trey Lyles,29,PF,69,5,19.6,2.3,5.4,0.42,1.2,3.4,0.34,1.1,2,0.559,0.528,0.8,1.2,0.7,1.2,3.4,4.6,1.2,0.6,0.3,0.6,1.2,6.5,,8000000
NOP,Trey Murphy III,24,SF,53,51,35,7.2,15.8,0.454,3,8.3,0.361,4.2,7.6,0.556,0.548,3.8,4.3,0.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,,5159855
ORL,Tristan Da Silva,23,SF,74,38,22,2.7,6.5,0.412,1.1,3.2,0.335,1.6,3.3,0.488,0.495,0.7,0.9,0.873,1,2.3,3.3,1.5,0.4,0.2,0.8,1.3,7.2,,3628440
CLE,Tristan Thompson,33,C,40,0,8.2,0.8,1.8,0.437,0,0.1,0,0.8,1.7,0.456,0.437,0.2,0.8,0.233,0.8,2.6,3.4,0.6,0.1,0.3,0.4,0.9,1.7,,2087519
WAS,Tristan Vukcevic,21,C,35,1,14.7,3.4,6.9,0.496,1.1,2.9,0.373,2.3,4,0.586,0.574,1.5,1.9,0.776,0.7,3,3.7,1.1,0.3,0.7,1.2,1.6,9.4,,2424892
CLE,Ty Jerome,27,SG,70,3,19.9,4.6,8.8,0.516,1.6,3.6,0.439,3,5.2,0.57,0.606,1.8,2.1,0.872,0.7,1.8,2.5,3.4,1.1,0,1.3,1.5,12.5,6MOY-3,2560975
MIA,Tyler Herro,25,SG,77,77,35.4,8.5,17.9,0.472,3.3,8.7,0.375,5.2,9.2,0.565,0.563,3.7,4.2,0.878,0.5,4.7,5.2,5.5,0.9,0.2,2.6,1.1,23.9,AS,29000000
NYK,Tyler Kolek,23,PG,41,0,7.2,0.7,2,0.329,0.3,1.1,0.298,0.3,0.9,0.371,0.415,0.3,0.4,0.765,0.2,0.5,0.7,1.7,0.3,0.1,0.4,0.6,2,,2087519
MIL,Tyler Smith,20,PF,23,0,5.3,1,2.2,0.48,0.6,1.3,0.433,0.5,0.9,0.55,0.61,0.3,0.3,0.75,0.3,0.8,1.1,0.2,0.1,0.2,0.3,0.5,2.9,,1157153
IND,Tyrese Haliburton,24,PG,73,73,33.6,6.5,13.8,0.473,3,7.7,0.388,3.5,6.1,0.581,0.582,2.6,3,0.851,0.6,3,3.5,9.2,1.4,0.7,1.6,1.3,18.6,NBA3,42176000
BRK,Tyrese Martin,25,SG,60,11,21.9,3.2,7.8,0.406,1.7,4.7,0.351,1.5,3.1,0.492,0.513,0.8,1,0.793,1,2.7,3.7,2,0.6,0.2,1.2,1.3,8.7,,635853
PHI,Tyrese Maxey,24,PG,52,52,37.7,9.2,21,0.437,3.1,9.2,0.337,6.1,11.8,0.515,0.511,4.9,5.6,0.879,0.3,3.1,3.3,6.1,1.8,0.4,2.4,2.2,26.3,CPOY-10,35147000
PHO,Tyus Jones,28,PG,81,58,26.8,3.8,8.4,0.448,2,5,0.414,1.7,3.5,0.496,0.57,0.6,0.7,0.895,0.5,1.9,2.4,5.3,0.9,0.1,1.1,0.8,10.2,,2087519
2TM,Vasilije Micić,31,PG,41,16,19.1,2.3,6.7,0.348,1.1,3,0.36,1.2,3.6,0.338,0.43,0.8,1,0.829,0.5,1.7,2.2,3.1,0.4,0,1.9,1.1,6.6,,7723000
CHO,Vasilije Micić,31,PG,36,16,21.2,2.6,7.6,0.348,1.3,3.5,0.36,1.4,4.1,0.338,0.43,0.9,1.1,0.829,0.6,1.9,2.4,3.5,0.4,0,2.1,1.2,7.5,,7723000
PHO,Vasilije Micić,31,PG,5,0,4.2,0,0,,0,0,,0,0,,,0,0,,0,0.4,0.4,0.2,0,0,0.6,0.2,0,,7723000
SAS,Victor Wembanyama,21,C,46,46,33.2,8.9,18.6,0.476,3.1,8.8,0.352,5.8,9.9,0.586,0.559,3.4,4.1,0.836,1.8,9.2,11,3.7,1.1,3.8,3.2,2.3,24.3,AS,12768960
MEM,Vince Williams Jr.,24,SG,27,5,18.5,2.5,6.2,0.401,1,3.5,0.274,1.5,2.7,0.569,0.479,0.7,0.9,0.792,0.8,2.8,3.6,2,0.4,0.3,1.2,1.7,6.6,,2120693
ATL,Vít Krejčí,24,PG,57,16,20.2,2.5,5.1,0.497,1.6,3.6,0.437,1,1.5,0.64,0.651,0.6,0.8,0.711,0.4,2.4,2.7,2.6,0.6,0.5,0.9,1.8,7.2,,2162606
DEN,Vlatko Čančar,27,PF,13,0,10.5,0.8,2,0.385,0.3,1.2,0.267,0.5,0.8,0.545,0.462,0,0,,0.5,2,2.5,0.7,0.2,0.2,0.8,0.8,1.8,,2087519
UTA,Walker Kessler,23,C,58,58,30,4.8,7.2,0.663,0.1,0.6,0.176,4.7,6.6,0.706,0.671,1.4,2.6,0.52,4.6,7.6,12.2,1.7,0.6,2.4,1.5,2.2,11.1,,2965920
ORL,Wendell Carter Jr.,25,C,68,51,25.9,3.3,7.2,0.46,0.5,2.3,0.234,2.8,4.9,0.568,0.498,1.9,2.6,0.737,2.2,5,7.2,2,0.8,0.6,1.1,2.9,9.1,,11950000
2TM,Wendell Moore Jr.,23,SG,36,1,13.9,1.6,3.5,0.468,0.4,1.1,0.341,1.3,2.4,0.529,0.524,0.5,0.6,0.818,0.8,1.8,2.6,1.2,0.6,0.1,0.8,0.9,4.2,,2537040
DET,Wendell Moore Jr.,23,SG,20,1,11,1.2,2.5,0.46,0.2,0.7,0.286,1,1.8,0.528,0.5,0.7,0.7,0.929,0.6,1.7,2.2,1.2,0.5,0.2,0.5,0.8,3.2,,2537040
CHO,Wendell Moore Jr.,23,SG,16,0,17.5,2.3,4.8,0.474,0.6,1.7,0.37,1.6,3.1,0.531,0.539,0.3,0.5,0.625,1.2,2,3.2,1.2,0.6,0.1,1.1,1,5.4,,2537040
BOS,Xavier Tillman Sr.,26,C,33,2,7,0.4,1.6,0.245,0.2,1,0.156,0.2,0.6,0.381,0.292,0.1,0.1,0.75,0.3,1,1.3,0.2,0.3,0.2,0.4,0.5,1,,2237691
NOP,Yves Missi,20,C,73,67,26.8,3.7,6.7,0.547,0,0,0,3.7,6.7,0.548,0.547,1.7,2.8,0.623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2,9.1,,3202560
ATL,Zaccharie Risacher,19,SF,75,73,24.6,4.8,10.4,0.458,1.6,4.6,0.355,3.1,5.8,0.54,0.537,1.4,2,0.711,1.1,2.4,3.6,1.2,0.7,0.5,1.2,2,12.6,ROY-2,12569040
2TM,Zach Collins,27,PF,64,12,15.3,2.4,4.7,0.507,0.5,1.7,0.302,1.9,3.1,0.617,0.56,1.1,1.2,0.885,1.6,2.9,4.5,1.7,0.5,0.5,0.9,2.1,6.4,,16741200
SAS,Zach Collins,27,C,36,4,11.8,1.7,3.7,0.462,0.4,1.3,0.304,1.3,2.4,0.547,0.515,0.9,1,0.886,1.1,1.8,2.8,1.4,0.4,0.4,0.6,1.9,4.6,,16741200
CHI,Zach Collins,27,PF,28,8,19.7,3.3,6.1,0.541,0.6,2.1,0.3,2.6,3.9,0.673,0.594,1.4,1.5,0.884,2.3,4.4,6.7,2.1,0.5,0.5,1.3,2.2,8.6,,16741200
MEM,Zach Edey,22,C,66,55,21.5,3.8,6.6,0.58,0.3,0.8,0.346,3.5,5.8,0.612,0.6,1.4,1.9,0.709,3.5,4.8,8.3,1,0.5,1.3,1.3,2.8,9.2,ROY-5,5756880
2TM,Zach LaVine,29,SG,74,74,35.2,8.4,16.5,0.511,3.2,7.2,0.446,5.2,9.3,0.562,0.609,3.2,3.9,0.825,0.3,4,4.3,4.2,0.8,0.2,2.8,1.6,23.3,,44531940
CHI,Zach LaVine,29,SF,42,42,34.1,8.6,16.9,0.511,3.2,7.3,0.446,5.4,9.6,0.56,0.607,3.5,4.3,0.797,0.3,4.5,4.8,4.5,0.9,0.2,2.9,1.5,24,,44531940
SAC,Zach LaVine,29,SG,32,32,36.6,8.2,16,0.511,3.2,7.2,0.446,5,8.8,0.564,0.611,2.8,3.2,0.874,0.3,3.2,3.5,3.8,0.6,0.1,2.7,1.8,22.4,,44531940
DEN,Zeke Nnaji,24,PF,57,4,10.7,1.2,2.5,0.496,0.3,0.9,0.327,0.9,1.6,0.596,0.557,0.5,0.8,0.614,0.6,1,1.6,0.4,0.4,0.7,0.2,1.1,3.2,,8888889
BRK,Ziaire Williams,23,SF,63,45,24.5,3.4,8.3,0.412,1.6,4.8,0.341,1.8,3.5,0.509,0.511,1.6,2,0.821,1,3.6,4.6,1.3,1,0.4,1.1,2.4,10,,6133005
NOP,Zion Williamson,24,PF,30,30,28.6,9.6,16.9,0.567,0.1,0.4,0.231,9.5,16.5,0.576,0.57,5.3,8,0.656,2.5,4.7,7.2,5.3,1.2,0.9,3,2.7,24.6,,36725670
