Rk,Player,Debut,Age,Yrs,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Standing Vertical,Vertical Leap,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
124,Moses Wright,Dec 22 '21 LAC @ SAC,23,1,3.50,0.25,1.00,0.00,0.25,0.75,0.75,0.25,0.75,0.50,0.00,0.25,0.00,0.00,1.25,wrighmo01,79.75,225.8,84.75,107,9,9.5,31.5,38,11.2,3.42,3.15,NA,106.30%,85.5,138.5,145
89,Neemias Queta,Dec 17 '21 SAC vs. MEM,22,5,16.30,2.69,4.25,0.00,0.05,0.94,1.37,1.95,5.11,0.93,0.48,0.86,0.73,2.04,6.32,quetane01,83.25,248.4,88,112.5,9.25,10.5,27,33,11.85,3.5,3.29,NA,105.70%,97.1,139.5,145.5
39,Quentin Grimes,Oct 20 '21 NYK vs. BOS,21,5,25.36,3.71,8.37,1.92,5.20,1.43,1.80,0.61,3.19,2.27,0.80,0.29,1.22,1.92,10.77,grimequ01,76,205,80,101,8.5,10,30.5,38.5,11.09,3.33,3.07,NA,105.30%,85,131.5,139.5
41,Sam Hauser,Nov 20 '21 BOS vs. OKC,24,5,19.40,2.69,6.09,2.13,5.15,0.17,0.19,0.53,3.01,0.97,0.46,0.25,0.37,1.19,7.68,hausesa01,78.75,217.4,81.25,102,8.25,9,28.5,34.5,11.14,3.07,3.34,NA,103.20%,74.3,130.5,136.5
65,Sandro Mamukelashvili,Oct 19 '21 MIL vs. BRK,22,5,13.93,2.43,4.95,0.84,2.34,0.84,1.14,1.20,3.56,1.16,0.38,0.34,0.58,1.14,6.54,mamuksa01,81,239.8,85.25,106.5,9,9.5,30.5,36.5,11.63,3.3,3.21,NA,105.20%,85.5,137,143
6,Scottie Barnes,Oct 20 '21 TOR vs. WAS,20,5,34.48,6.82,14.42,1.05,3.50,2.89,3.75,2.25,7.63,5.06,1.22,1.07,2.37,2.26,17.57,barnesc01,79,225.4,86.75,108,9.25,10.3,36,39.5,10.88,2.99,3.15,NA,109.80%,94.8,144,147.5
62,Scottie Lewis,Dec 13 '21 CHO @ DAL,21,1,3.50,0.00,0.00,0.00,0.00,0.50,1.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.50,lewissc01,76,187.6,84,101.5,8.75,9.8,34,42,10.45,3.03,2.98,NA,110.50%,85.3,135.5,143.5
117,Trendon Watford,Nov 14 '21 POR @ DEN,21,5,17.47,2.93,5.65,0.40,1.15,1.38,1.83,0.86,3.62,1.98,0.47,0.33,1.19,2.01,7.65,watfotr01,79.5,237.4,86.25,105,9.5,9.5,28,35,11.69,3.23,3.27,NA,108.50%,90.3,133,140
76,Trey Murphy III,Oct 20 '21 NOP vs. PHI,21,5,28.74,5.14,11.17,2.53,6.64,2.37,2.69,0.83,4.20,2.18,0.98,0.44,1.02,1.67,15.17,murphtr02,79.5,206,84,105.5,8.5,9,34,38,11.65,3.32,3.14,NA,105.70%,76.5,139.5,143.5
122,Ziaire Williams,Oct 20 '21 MEM vs. CLE,20,5,21.35,3.02,7.20,1.29,4.08,1.16,1.41,0.63,3.08,1.16,0.77,0.29,1.00,1.92,8.50,willizi02,80.25,188.4,82.25,106.5,9,8.8,34,39.5,10.69,3.04,3.12,NA,102.50%,78.8,140.5,146
99,Admiral Schofield,Oct 23 '19 WAS @ DAL,22,4,10.47,1.18,2.82,0.57,1.76,0.33,0.42,0.38,1.64,0.60,0.16,0.11,0.37,1.36,3.25,schofad01,76,240.6,81.75,102.5,8.75,9,30,34,10.77,2.87,3.37,15,107.60%,7880.00%,132.5,136.5
