Rk,YEAR,Player,POS,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,HANDL,HANDW,Standing Vertical,Leaping Vertical,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
92,2021,Cassius Winston,PG,Jan 11 '21 WAS vs. PHO,22,1,22,4.45,0.64,1.50,0.36,0.77,0.23,0.27,0.00,0.41,0.55,0.09,0.05,0.23,0.36,1.86,winstca01,72.5,196,78,97,8.75,8.3,24,28,11.15,2.74,3.61,NA,107.60%,72.2,121,125
8,2021,Charles Bassey,C,Oct 20 '21 PHI @ NOP,21,1,23,7.30,1.30,2.04,0.00,0.17,0.39,0.52,0.96,2.70,0.30,0.22,0.74,0.35,1.39,3.00,bassech01,81.25,230.2,87,107.5,9,9.5,33,36,12.19,3.33,3.13,NA,107.10%,85.5,140.5,143.5
71,2020,Chimezie Metu,PF-C,Oct 20 '18 SAS @ POR,21,1,29,5.00,0.66,2.00,0.00,0.07,0.45,0.59,0.31,1.24,0.45,0.21,0.07,0.52,0.48,1.76,metuch01,80.5,219.6,84.5,108,9,9.3,29.5,36,11.89,3.25,3.33,5,105.00%,83.3,137.5,144
53,2018,Chris Livingston,SF,Nov 1 '23 MIL @ TOR,20,1,21,4.29,0.52,1.05,0.05,0.24,0.14,0.19,0.14,1.00,0.24,0.10,0.00,0.24,0.71,1.24,livinch01,78,219.2,83.3,104.5,8.5,9,30.5,37,11.65,NA,3.27,NA,106.70%,76.5,135,141.5
9,2018,Christian Braun,SG,Oct 19 '22 DEN @ UTA,21,1,76,15.54,1.88,3.80,0.45,1.26,0.53,0.84,0.63,2.38,0.78,0.54,0.22,0.46,1.33,4.74,braunch01,77.5,209.2,78.5,99.5,8,8.5,33.5,40,11,3.13,3.16,NA,101.30%,68,133,139.5
45,2023,Christian Koloko,C,Oct 19 '22 TOR vs. CLE,22,1,58,13.83,1.24,2.59,0.02,0.21,0.64,1.02,1.45,2.95,0.53,0.36,0.98,0.34,2.21,3.14,kolokch01,82.75,221,89.25,113,9,10.8,28,33.5,11.3,3.19,3.27,NA,107.90%,96.8,141,146.5
22,2020,CJ Elleby,SG-SF,Dec 23 '20 POR vs. UTA,20,1,30,6.40,0.83,2.20,0.23,1.13,0.37,0.50,0.37,1.07,0.33,0.20,0.10,0.17,0.90,2.27,ellebcj01,77.5,198.6,79.25,100.5,8.75,10,30.5,36.5,11.25,2.63,3.25,NA,102.30%,87.5,131,137
103,2019,Cody Williams,SF,Oct 23 '24 UTA vs. MEM,20,1,50,21.20,1.66,5.14,0.70,2.70,0.58,0.80,0.54,2.26,1.18,0.46,0.32,0.88,1.90,4.60,willico04,78.5,178.4,85,103,8.25,9,31,35.5,11.17,2.93,3.06,NA,108.30%,74.3,134,138.5
49,2018,Colby Jones,SG,Oct 25 '23 SAC @ UTA,21,1,30,6.40,0.93,2.37,0.07,0.73,0.20,0.37,0.57,1.33,0.67,0.23,0.17,0.33,0.97,2.13,jonesco02,76.5,199.2,80,103,8.25,8.5,30.5,35,11.14,3.13,3.33,NA,104.60%,70.1,133.5,138
32,2021,Collin Gillespie,PG,Oct 24 '23 DEN vs. LAL,24,1,24,9.38,1.33,2.88,0.63,1.58,0.33,0.50,0.04,0.88,1.13,0.54,0.00,0.58,1.00,3.63,gilleco01,73.5,195.8,76,98,8.25,9,26.5,33,10.95,3.01,3.21,NA,103.40%,74.3,124.5,131
