Rk,YEAR,Player,POS,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,ID,Height,Weight,Wingspan,Standing Reach,HANDL,HANDW,Standing Vertical,Leaping Vertical,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
7,2022,Jalen Bridges,SF,Nov 13 '24 PHO @ SAC,23,1,8,3.75,0.25,0.88,0.25,0.88,0.38,0.50,0.00,0.50,0.00,0.00,0.00,0.50,0.00,1.13,bridgja01,78.8,213.4,82,105,9,10,25,32,11,3,3,NA,104.10%,90,130,137
21,2020,Jalen Brunson,PG,Oct 17 '18 DAL @ PHO,22,1,73,21.79,3.62,7.74,0.86,2.48,1.19,1.64,0.34,2.32,3.15,0.51,0.05,1.21,1.74,9.29,brunsja01,73,198.4,76,96,8.25,9.3,29,37,10.59,3.11,3.15,7,104.10%,76.3,125,133
34,2019,Jalen Harris,SG,Jan 8 '21 TOR @ SAC,22,1,13,13.23,2.77,5.54,1.31,2.77,0.54,0.69,0.23,1.38,1.31,0.62,0.00,1.08,1.15,7.38,harrija01,74.75,193.4,79,97.5,8.25,9.5,37.5,42.5,10.59,2.49,3.11,NA,105.70%,78.4,135,140
69,2021,Jalen Pickett,PG,Oct 24 '23 DEN vs. LAL,24,1,27,4.52,0.56,1.30,0.33,0.93,0.11,0.15,0.04,0.52,0.78,0.15,0.00,0.33,0.48,1.56,pickeja02,74,197.8,79.3,98.5,8.5,7.5,28.5,33,11.91,3.41,3.35,NA,107.10%,63.8,127,131.5
82,2020,Jalen Slawson,PF,Nov 15 '23 SAC @ LAL,24,1,12,3.08,0.33,0.50,0.00,0.17,0.00,0.00,0.08,0.58,0.17,0.08,0.08,0.17,0.67,0.67,slawsja01,78.5,221.6,83.8,106,9,9,29,33,11.26,NA,3.29,NA,106.70%,81,135,139
81,2024,Jalen Williams,SG,Oct 19 '22 OKC @ MIN,21,1,75,30.35,5.52,10.59,0.97,2.73,2.07,2.55,1.12,4.49,3.31,1.37,0.47,1.64,2.55,14.08,willija06,76.5,209.2,86.25,105.5,8.5,9.5,33.5,39,11.13,3.17,3.11,NA,112.70%,80.8,139,144.5
100,2022,Jalen Wilson,SF,Nov 1 '23 BRK @ MIA,23,1,43,15.44,1.77,4.16,0.56,1.72,0.88,1.07,1.09,3.05,1.05,0.26,0.09,0.44,1.12,4.98,wilsoja03,77.5,230.2,80,99.5,8.25,9,31.5,35,11.26,3.15,3.2,NA,103.20%,74.3,131,134.5
84,2019,Jamal Shead,PG,Oct 23 '24 TOR vs. CLE,22,1,75,19.56,2.72,6.72,0.96,2.97,0.71,0.92,0.40,1.53,4.21,0.77,0.13,1.56,2.11,7.11,sheadja01,72.3,200.8,75,96,8.25,8.8,30,37.5,10.87,2.87,2.94,NA,103.80%,72.2,126,133.5
94,2024,Jarace Walker,PF,Oct 25 '23 IND vs. WAS,20,1,33,10.30,1.36,3.33,0.67,1.67,0.24,0.27,0.36,1.91,1.21,0.45,0.33,0.52,0.88,3.64,walkeja02,78.5,248.6,86.5,104.5,9,10,34.5,38,10.89,NA,3.2,NA,110.20%,90,139,142.5
61,2024,Jared McCain,SG,Oct 23 '24 PHI vs. MIL,20,1,23,25.74,5.48,11.91,2.22,5.78,2.13,2.43,0.57,2.43,2.61,0.65,0.00,1.61,1.61,15.30,mccaija01,74,203.2,75.5,98,8.25,9.5,25.5,33,10.87,3.07,3.23,NA,102.00%,78.4,123.5,131
60,2019,Jason Preston,PG,Oct 23 '22 LAC vs. PHO,23,1,14,8.86,1.29,2.93,0.36,1.29,0.00,0.14,0.14,1.57,1.93,0.14,0.00,0.71,0.50,2.93,prestja01,75,180.6,80.5,100.5,8.5,9.3,30.5,38.5,10.82,3.08,3.13,NA,107.30%,78.6,131,139
23,2024,Javin DeLaurier,PF,Jan 1 '22 MIL vs. NOP,23,1,1,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,delauja01,82.25,218.6,87.5,110.5,9.25,10.5,27,34.5,11.74,3.23,3.37,5,106.40%,97.1,137.5,145
101,2020,Jaylen Wells,SF,Oct 23 '24 MEM @ UTA,21,1,79,25.86,3.63,8.56,1.75,4.96,1.41,1.71,1.10,3.39,1.71,0.56,0.10,0.87,1.85,10.42,wellsja01,78.5,206.2,79.3,103.5,8.25,9.3,27.5,36,11.28,3.03,3.08,NA,101.00%,76.3,131,139.5
82,2021,Jaylin Williams,C,Oct 23 '22 OKC vs. MIN,20,1,49,18.65,2.08,4.78,0.94,2.31,0.78,1.10,0.90,4.92,1.55,0.57,0.24,0.76,2.27,5.88,willija07,80.75,236.6,85,108.5,8.5,10.5,24.5,30,11.64,3.1,3.5,NA,105.30%,89.3,133,138.5
96,2019,Jaylon Tyson,SF,Oct 23 '24 CLE @ TOR,22,1,47,9.64,1.36,3.17,0.43,1.23,0.40,0.51,0.79,2.04,0.94,0.28,0.06,0.55,1.06,3.55,tysonja01,77.5,218.2,80,102.5,8.25,9.5,29.5,36.5,11.13,3.06,3.12,NA,103.20%,78.4,132,139
20,2024,JD Davison,PG,Nov 11 '22 BOS vs. DEN,20,1,12,5.50,0.67,1.58,0.17,0.58,0.08,0.17,0.17,0.75,0.92,0.17,0.17,0.33,0.42,1.58,davisjd01,72.5,191.8,78.5,99.5,8.5,9.5,30,37,11.38,3.23,3.26,NA,108.30%,80.8,129.5,136.5
91,2021,Jeremiah Robinson-Earl,PF,Oct 20 '21 OKC @ UTA,21,1,49,22.18,2.73,6.61,1.18,3.37,0.82,1.10,1.53,5.59,1.00,0.59,0.31,0.80,1.53,7.47,robinje02,79.75,242.4,81.75,105.5,9,9.8,27,32,11.64,3.15,3.29,NA,102.50%,87.8,132.5,137.5
100,2021,Jericho Sims,C,Oct 20 '21 NYK vs. BOS,23,1,41,13.54,0.95,1.32,0.00,0.00,0.29,0.71,1.49,4.12,0.51,0.27,0.54,0.49,1.61,2.20,simsje01,81,250.2,87.25,106,9,9.8,37,44.5,11.59,3.38,3.05,NA,107.70%,87.8,143,150.5
30,2018,Jesse Edwards,C,Mar 2 '25 MIN @ PHO,24,1,2,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00,0.00,edwarje01,83.5,236,89,111,9,10,31,36,11.24,3,3,NA,106.60%,92.5,142,147
23,2019,Jevon Carter,PG,Dec 15 '18 MEM vs. HOU,23,1,39,14.79,1.44,4.74,0.87,2.62,0.67,0.82,0.36,1.69,1.77,0.67,0.28,0.85,1.41,4.41,carteje01,72.25,196.2,76.25,95,9.25,8.5,29,36.5,11.04,3.05,3.18,14,105.50%,78.6,124,131.5
118,2018,Joe Wieskamp,SF,Nov 10 '21 SAS vs. SAC,22,1,29,7.07,0.69,1.93,0.48,1.48,0.24,0.45,0.14,0.48,0.31,0.14,0.10,0.07,0.48,2.10,wieskjo01,77.75,204.8,83,103,8.5,9.3,30,42,10.7,3.18,3.04,NA,106.80%,78.6,133,145
11,2019,John Butler,PF,Nov 5 '22 POR @ PHO,20,1,19,11.63,0.89,2.79,0.42,1.84,0.16,0.21,0.16,0.89,0.58,0.37,0.47,0.05,1.16,2.37,butlejo01,83.75,174.4,86.25,112,8.5,8.8,26.5,28.5,11.16,3.04,3.33,NA,103.00%,74.4,138.5,140.5
36,2019,Johnny Furphy,SF,Oct 25 '24 IND @ NYK,20,1,50,7.58,0.70,1.84,0.30,1.00,0.36,0.44,0.46,1.42,0.38,0.36,0.22,0.24,0.82,2.06,furphjo01,79.5,188.8,80,104.5,8,10,26,32,11.15,3,3,NA,100.60%,76,130.5,136.5
42,2023,Johnny Juzang,SG,Feb 28 '23 UTA vs. SAS,21,1,18,12.89,1.94,5.78,0.83,3.50,0.11,0.22,0.44,2.17,0.44,0.22,0.17,0.17,0.72,4.83,juzanjo01,77.25,208.6,83,102.5,8.5,9.5,27.5,32.5,11.03,3.17,3.29,NA,107.40%,80.8,130,135
68,2018,Jonathan Mogbo,PF,Oct 23 '24 TOR vs. CLE,23,1,63,20.41,2.48,5.65,0.27,1.11,0.95,1.30,1.73,4.94,2.32,0.87,0.54,1.11,2.16,6.17,mogbojo01,78.3,217.2,86,108.5,8.75,8.8,31.5,37.5,11.14,3.07,3.02,NA,109.90%,76.6,140,146
58,2024,Jordan Miller,SF,Oct 25 '23 LAC vs. POR,24,1,8,3.50,0.63,1.13,0.13,0.25,0.25,0.25,0.38,0.63,0.00,0.00,0.00,0.13,0.25,1.63,millejo02,76.5,191.6,83.8,103.5,8.5,9.3,32,36.5,11.43,3.21,3.17,NA,109.50%,78.6,135.5,140
61,2022,Jordan Nwora,SF-PF,Dec 25 '20 MIL vs. GSW,22,1,30,9.13,2.07,4.50,0.93,2.07,0.63,0.83,0.30,2.00,0.23,0.53,0.23,0.80,0.73,5.70,nworajo01,77.75,223,82.25,104,8.5,9.3,29,35,11.29,2.66,3.43,NA,105.80%,78.6,133,139
96,2024,Jordan Walsh,SF,Jan 17 '24 BOS vs. SAS,19,1,9,9.22,0.67,1.67,0.22,1.00,0.11,0.22,0.56,2.22,0.56,0.56,0.11,0.33,1.22,1.67,walshjo01,77.8,204,85.8,107,8.75,8.5,33,36,10.83,NA,3.3,NA,110.30%,74.4,140,143
18,2024,Josh Christopher,SG,Oct 20 '21 HOU @ MIN,20,1,74,18.03,3.03,6.76,0.76,2.55,1.12,1.53,0.70,2.51,2.03,0.88,0.18,1.54,1.31,7.93,chrisjo01,75.25,214.8,81.25,101,8.75,8.5,29.5,37.5,11.32,3.3,3.14,NA,108.00%,74.4,130.5,138.5
29,2024,Josh Green,SG-SF,Dec 23 '20 DAL @ PHO,20,1,39,11.41,1.08,2.38,0.10,0.64,0.33,0.59,0.72,2.00,0.72,0.41,0.08,0.44,0.90,2.59,greenjo02,76.5,214,81.75,101.5,8,8.8,30.5,39.5,10.64,2.28,3.12,NA,106.90%,70,132,141
76,2020,Josh Okogie,SG,Oct 20 '18 MIN @ DAL,20,1,74,23.74,2.65,6.86,0.81,2.91,1.59,2.19,0.55,2.95,1.23,1.19,0.45,0.85,2.24,7.70,okogijo01,75,210.8,84,102,9,9.8,33,42,11.08,3.03,3.04,12,112.00%,87.8,135,144
87,2019,Joshua Primo,SG,Oct 20 '21 SAS vs. ORL,19,1,50,19.30,2.02,5.40,0.84,2.74,0.88,1.18,0.64,2.26,1.62,0.40,0.46,1.14,1.58,5.76,primojo01,76,189,81.25,102.5,9,10,30.5,37.5,10.97,3.36,3.22,NA,106.90%,90,133,140
110,2019,JT Thor,PF,Oct 22 '21 CHO @ CLE,19,1,33,7.94,0.73,1.67,0.21,0.82,0.36,0.61,0.33,1.30,0.58,0.24,0.33,0.30,0.79,2.03,thorjt01,80.5,203,87.25,110,9.25,9.5,31.5,35,12.19,3.08,3.06,NA,108.40%,87.9,141.5,145
5,2024,Jules Bernard,PF,Dec 8 '23 WAS @ BRK,24,1,19,7.84,1.53,3.37,0.58,1.53,0.26,0.47,0.53,1.37,0.84,0.16,0.05,0.42,0.74,3.89,bernaju01,79,221,84.5,106,9.25,9.3,28.5,34,11.12,3.01,3.27,NA,107.00%,85.6,134.5,140
13,2024,Julian Champagnie,SF,Nov 22 '22 PHI vs. BRK,21,1,17,18.82,3.47,7.65,1.94,4.82,0.82,1.00,0.59,3.53,0.59,0.35,0.29,0.65,1.53,9.71,champju02,78.25,212.4,82,107,8.75,9.3,28.5,34.5,11.39,3.04,3.14,NA,104.80%,80.9,135.5,141.5
68,2024,Julian Phillips,SF,Oct 25 '23 CHI vs. OKC,20,1,40,8.08,0.80,1.93,0.30,0.95,0.33,0.48,0.30,0.90,0.33,0.18,0.18,0.25,1.00,2.23,phillju01,78.8,196.6,83.5,102,8.5,9,36,43,11.09,NA,3.32,NA,106.00%,76.5,138,145
86,2020,Julian Strawther,SF,Oct 27 '23 DEN @ MEM,21,1,50,10.90,1.64,4.44,0.82,2.76,0.44,0.62,0.10,1.22,0.94,0.34,0.14,0.46,1.08,4.54,strawju01,78,208.8,81.3,105,8.25,8.3,27.5,34.5,10.94,3.46,3.31,NA,104.20%,68.1,132.5,139.5
17,2020,Justin Champagnie,PF,Oct 22 '21 TOR @ BOS,20,1,36,7.81,0.86,1.86,0.28,0.78,0.25,0.25,1.03,2.00,0.31,0.22,0.11,0.22,0.89,2.25,champju01,77.75,206.4,81.5,104,8.75,8.5,27,35,11.94,3.14,3.34,NA,104.80%,74.4,131,139
31,2024,Justin Edwards,SF,Nov 24 '24 PHI vs. LAC,21,1,44,26.25,3.91,8.59,1.57,4.32,0.73,1.05,1.05,3.36,1.57,1.02,0.36,1.11,2.23,10.11,edwarju01,78,209.4,82,102.5,9,9,28,33,12.07,3,3,NA,105.10%,76.6,130.5,135.5
49,2020,Karim Mané,PG-SG,Dec 31 '20 ORL vs. PHI,20,1,10,8.80,0.30,1.30,0.10,0.20,0.40,0.50,0.10,1.40,0.40,0.00,0.20,0.30,1.00,1.10,maneka01,77,196,83,102,8.5,9.8,31,36,11.52,2.64,3.04,NA,107.80%,82.9,133,138
10,2024,Keita Bates-Diop,SG-SF,Oct 26 '18 MIN vs. MIL,23,1,30,16.77,2.00,4.73,0.43,1.73,0.60,0.93,0.53,2.77,0.57,0.60,0.47,0.47,0.97,5.03,bateske01,79.25,223.8,87.25,106.5,9,8.5,30.5,35,11.2,3.28,3.17,11,110.10%,76.5,137,141.5
99,2020,Kel'el Ware,C,Oct 23 '24 MIA vs. ORL,20,1,64,22.22,4.02,7.25,0.55,1.73,0.72,1.05,1.81,7.39,0.94,0.61,1.11,0.89,1.73,9.30,wareke01,83.8,230,88.5,112.5,9.5,10.3,32.5,36,10.97,2.91,3.29,NA,105.70%,97.4,145,148.5
10,2021,Kendall Brown,SF,Nov 23 '22 IND vs. MIN,19,1,6,6.67,0.67,1.17,0.00,0.17,0.17,0.33,0.33,1.00,0.50,0.67,0.00,0.33,1.50,1.50,brownke03,78.25,201.2,83,103,9,9,31.5,41,11.57,3.05,3.29,NA,106.10%,81,134.5,144
14,,Kennedy Chandler,PG,Oct 22 '22 MEM @ DAL,20,1,36,7.81,0.97,2.31,0.06,0.42,0.17,0.36,0.25,1.06,1.61,0.33,0.14,0.50,0.42,2.17,chandke01,71.5,172.2,77.25,97,8.5,9.5,31,41.5,10.73,2.89,NA,NA,108.00%,80.8,128,138.5
103,,Kenrich Williams,SF,Oct 17 '18 NOP @ HOU,24,1,46,23.46,2.33,6.07,1.13,3.39,0.28,0.41,1.20,4.76,1.80,0.98,0.41,0.78,2.07,6.07,willike04,78,200.4,79.25,103.5,8.5,9.8,28,33,10.86,3.28,3.19,14,101.60%,82.9,131.5,136.5
26,,Keon Ellis,SG,Nov 17 '22 SAC vs. SAS,23,1,16,4.44,0.44,1.00,0.38,0.75,0.25,0.44,0.25,0.50,0.38,0.31,0.06,0.06,0.63,1.50,elliske01,75.5,167.4,80.5,102,8,9.3,28,35.5,10.87,3.02,3.18,NA,106.60%,74,130,137.5
51,,Keon Johnson,SG,Nov 7 '21 LAC vs. CHO,19,1,37,18.84,2.59,7.35,0.92,2.70,1.11,1.38,0.65,2.19,2.05,0.76,0.32,1.24,1.86,7.22,johnske07,75.5,184.8,79.25,97,8.5,9,41.5,48,11.45,3.2,3,NA,105.00%,76.5,138.5,145
48,,Keshad Johnson,PF,Dec 2 '24 MIA @ BOS,23,1,16,6.13,1.13,1.63,0.19,0.44,0.25,0.56,0.38,1.75,0.25,0.31,0.25,0.25,0.69,2.69,johnske10,78.3,224,82.3,103,9.25,10.8,31.5,42,11.38,3.02,3.03,NA,105.10%,99.4,134.5,145
29,,Kessler Edwards,PF,Nov 16 '21 BRK vs. GSW,21,1,48,20.56,2.29,5.56,1.00,2.83,0.33,0.40,0.92,3.58,0.65,0.60,0.50,0.88,1.77,5.92,edwarke02,79,203,83.25,106,8.5,8.3,28,37,11.3,3.38,3.25,NA,105.40%,70.1,134,143
52,,Kevin Huerter,SG,Oct 17 '18 ATL @ NYK,20,1,75,27.31,3.67,8.76,1.81,4.71,0.55,0.75,0.80,3.27,2.85,0.87,0.33,1.45,2.07,9.69,huertke01,78.25,194,79.5,101.5,8.25,8.5,31,38,10.89,2.97,3.09,9,101.60%,70.1,132.5,139.5
92,,Khyri Thomas,SG,Nov 9 '18 DET @ ATL,22,1,26,7.50,0.85,2.65,0.38,1.35,0.27,0.42,0.15,0.77,0.31,0.27,0.19,0.15,0.85,2.35,thomakh01,74.5,198.8,82.5,101,8.75,9.3,30,35,10.96,3.18,3.18,14,110.70%,80.9,131,136
85,,Killian Tillie,PF,Feb 28 '21 MEM @ HOU,22,1,18,10.11,1.06,3.17,0.56,1.83,0.50,0.61,0.33,1.33,0.44,0.28,0.44,0.11,1.11,3.17,tilliki02,80.75,221.6,80,106,8.25,9.3,27.5,32,11.6,2.62,3.4,NA,99.10%,76.3,133.5,138
86,,KJ Simpson,PG,Nov 4 '24 CHO @ MIN,22,1,36,23.39,2.89,8.36,0.92,3.61,1.14,1.39,1.08,3.03,3.11,0.94,0.17,1.56,1.56,7.83,simpskj01,72.3,187,76.5,93.5,8.25,9.3,32.5,40.5,10.49,2.98,3.24,NA,105.90%,76.3,126,134
10,,Kobe Brown,PF,Oct 25 '23 LAC vs. POR,24,1,44,8.95,0.84,2.05,0.32,1.09,0.02,0.05,0.45,1.41,0.57,0.27,0.14,0.20,1.11,2.02,brownko01,78.5,252.2,84.8,106.5,8.75,9.8,29,32,11,3,3,NA,108.00%,85.3,135.5,138.5
11,,Kobe Bufkin,SG,Oct 29 '23 ATL @ MIL,20,1,17,11.53,2.00,5.41,0.53,2.35,0.24,0.47,0.35,1.94,1.59,0.41,0.29,0.59,1.18,4.76,bufkiko01,76.3,186.8,79.8,102.5,8,9.3,29,36,12,NA,3,NA,104.60%,74,131.5,138.5
6,,Kostas Antetokounmpo,PF,Mar 20 '19 DAL @ POR,21,1,2,5.50,0.00,1.50,0.00,0.00,1.00,2.00,0.00,0.50,0.00,1.00,0.00,0.50,0.00,1.00,antetko01,81,194.8,86.25,110,9.25,9.5,29.5,35,12.48,3.48,3.21,0,106.50%,87.9,139.5,145
62,,Kris Murray,PF,Oct 25 '23 POR @ LAC,23,1,62,21.74,2.34,5.90,0.79,2.95,0.60,0.90,1.37,3.61,1.29,0.85,0.34,0.89,1.48,6.06,murrakr01,79.8,212.8,83.8,106,8.5,9,29.5,35,11.11,NA,3.3,NA,105.00%,76.5,135.5,141
33,,Kyle Filipowski,PF,Oct 25 '24 UTA vs. GSW,21,1,72,21.14,3.61,7.19,1.07,3.06,1.29,1.99,1.56,6.11,1.94,0.67,0.31,1.42,2.38,9.58,filipky01,82.8,229.8,82.5,107,9,10,27,33,11.43,3,3,NA,99.70%,83.1,134,140
37,,Kyshawn George,SF,Oct 24 '24 WAS vs. BOS,21,1,68,26.50,2.99,8.03,1.68,5.21,1.03,1.37,0.72,4.19,2.49,1.00,0.74,1.43,2.96,8.68,georgky01,79,208.8,82.3,105,9,10.3,27,32,11.9,2.91,3.32,NA,104.10%,92.3,132,137
84,,Landry Shamet,PG,Oct 16 '18 PHI @ BOS,21,1,79,22.81,3.04,7.05,2.11,5.01,0.95,1.18,0.27,1.70,1.48,0.47,0.13,0.57,1.96,9.14,shamela01,76,188.6,78.75,100,8,9,31,39.5,11.26,3.21,3.11,8,103.60%,72,131,139.5
59,,Leonard Miller,PF,Oct 28 '23 MIN vs. MIA,20,1,17,3.06,0.76,1.18,0.12,0.29,0.06,0.12,0.29,1.18,0.47,0.12,0.06,0.06,0.29,1.71,millele01,81.3,212.8,86,106.5,9.5,10.5,32,37.5,11,NA,3.33,NA,105.80%,99.8,138.5,144
97,,Lonnie Walker IV,SG,Jan 3 '19 SAS vs. TOR,20,1,17,6.94,0.94,2.71,0.29,0.76,0.47,0.59,0.00,1.00,0.53,0.41,0.18,0.24,0.41,2.65,walkelo01,75.75,196.2,82.25,99.5,9,9.5,31.5,40,10.87,2.91,3.06,12,108.60%,85.5,131,139.5
34,,Luka Garza,C,Oct 23 '21 DET @ CHI,23,1,32,12.16,2.06,4.59,0.50,1.53,1.19,1.91,1.81,3.13,0.63,0.28,0.19,0.56,1.72,5.81,garzalu01,82,242.8,85.5,107.5,9,9.3,24,29.5,11.9,3.38,3.51,NA,104.30%,83.3,131.5,137
8,,Malaki Branham,SG,Oct 30 '22 SAS vs. MIN,19,1,66,23.48,4.08,9.26,1.17,3.86,0.88,1.06,0.42,2.74,1.92,0.50,0.11,1.15,1.74,10.20,branhma01,76,194.8,82,102.5,8.5,9.8,29,35,11.38,3.09,3.17,NA,107.90%,82.9,131.5,137.5
19,,Mamadi Diakite,PF,Mar 11 '21 MIL vs. NYK,24,1,14,10.07,1.14,2.86,0.07,0.57,0.79,1.00,0.57,2.43,0.57,0.50,0.43,0.21,1.14,3.14,diakima01,80.5,222.1,87.75,107,9,10.3,28,37,11.95,2.71,3.16,NA,109.00%,92.3,135,144
2,,Marcus Bagley,SF,Mar 24 '25 PHI @ NOP,23,1,10,25.30,2.70,6.90,0.50,3.20,0.80,1.00,2.30,7.00,1.00,0.90,1.20,0.70,1.60,6.70,baglema02,78,216.8,83,102.5,8.75,8.5,32.5,38.5,12.26,3.1,3.17,NA,106.40%,74.4,135,141
78,,Marcus Sasser,PG,Oct 25 '23 DET @ MIA,23,1,71,19.03,3.08,7.21,1.27,3.38,0.82,0.93,0.15,1.76,3.32,0.62,0.17,1.27,1.45,8.25,sassema01,73.3,195.6,79,99.5,8.75,9.5,27,35,10.68,NA,3.43,NA,107.80%,83.1,126.5,134.5
37,,Markus Howard,PG,Dec 25 '20 DEN vs. LAC,21,1,37,5.54,1.08,2.86,0.49,1.76,0.19,0.24,0.03,0.57,0.49,0.11,0.03,0.49,0.62,2.84,howarma02,69.5,170.8,72.25,91.5,8.5,7.8,30.5,35.5,11.21,3.17,3.11,NA,104.00%,65.9,122,127
40,,Mason Jones,SG,Jan 8 '21 HOU vs. ORL,22,1,32,10.44,1.63,3.84,0.75,2.06,1.25,2.00,0.22,1.72,1.31,0.22,0.03,0.91,0.75,5.25,jonesma05,75.75,207.2,79,102.5,8.75,8.5,24,31,10.6,2.49,3.33,NA,104.30%,74.4,126.5,133.5
9,,Matas Buzelis,SF,Oct 23 '24 CHI @ NOP,20,1,80,18.89,3.15,6.94,1.20,3.33,1.10,1.35,0.69,3.48,0.99,0.36,0.94,0.93,1.60,8.60,buzelma01,80.8,197,82,105.5,9,9,31,38,11,3,3,NA,101.50%,78.6,136.5,143.5
42,,Matthew Hurt,PF,Jan 29 '24 MEM vs. SAC,23,1,8,14.13,1.50,4.25,0.63,2.50,0.38,0.38,1.13,2.00,0.50,0.38,0.38,0.25,1.00,4.00,hurtma01,80.5,232.4,81.5,106.5,9,9,25.5,32.5,11.44,3.25,3.34,NA,101.20%,81,132,139
15,,Max Christie,SG,Oct 18 '22 LAL @ GSW,19,1,41,12.49,1.07,2.59,0.63,1.51,0.34,0.39,0.17,1.83,0.51,0.22,0.17,0.32,0.80,3.12,chrisma02,76.25,189.2,80.75,102.5,8,8.5,32,37.5,10.82,3.02,3.07,NA,105.90%,68,134.5,140
50,,Maxwell Lewis,SG,Oct 24 '23 LAL @ DEN,21,1,34,3.03,0.12,0.62,0.03,0.26,0.06,0.09,0.06,0.12,0.18,0.06,0.03,0.29,0.15,0.32,lewisma05,78.3,207.2,84,104.5,8.75,9.5,32.5,36.5,11.4,NA,3.43,NA,107.30%,83.1,137,141
123,,McKinley Wright IV,PG,Oct 20 '21 MIN vs. HOU,23,1,5,3.80,0.40,0.60,0.20,0.40,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.20,0.20,1.00,wrighmc01,71.25,192.2,77.25,94,8.5,9,31.5,38,10.76,3.12,3.08,NA,108.40%,76.5,125.5,132
28,,Michael Foster Jr.,C,Nov 22 '22 PHI vs. BRK,20,1,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,fostemi02,79.75,236.6,84.25,109.5,8.75,10,28,32.5,11.49,3.1,3.22,NA,105.60%,87.5,137.5,142
67,,Miles McBride,PG,Oct 22 '21 NYK @ ORL,21,1,40,9.30,0.80,2.70,0.43,1.70,0.20,0.30,0.10,1.05,1.03,0.35,0.03,0.13,1.13,2.23,mcbrimi01,73,195.2,80.75,99.5,9,9.5,31,38.5,11.08,3.13,3.1,NA,110.60%,85.5,130.5,138
96,,Moritz Wagner,C-PF,Nov 17 '18 LAL @ ORL,21,1,43,10.37,1.65,3.98,0.51,1.79,1.00,1.23,0.40,1.98,0.56,0.26,0.30,0.91,1.33,4.81,wagnemo01,82.5,241.4,84,108,9,10.8,27,34,11.48,3.07,3.18,8,101.80%,96.8,135,142
124,,Moses Wright,PF,Dec 22 '21 LAC @ SAC,23,1,4,3.50,0.25,1.00,0.00,0.25,0.75,0.75,0.25,0.75,0.50,0.00,0.25,0.00,0.00,1.25,wrighmo01,79.75,225.8,84.75,107,9,9.5,31.5,38,11.2,3.42,3.15,NA,106.30%,85.5,138.5,145
22,,Moussa Diabaté,C,Oct 27 '22 LAC @ OKC,21,1,22,8.86,1.09,2.14,0.05,0.09,0.45,0.73,1.41,2.27,0.18,0.32,0.36,0.41,0.68,2.68,diabamo01,81.25,216.6,86.5,109.5,8.5,10.5,29,36.5,11.16,2.9,3.26,NA,106.50%,89.3,138.5,146
24,,N'Faly Dante,C,Mar 3 '25 HOU @ OKC,23,1,4,12.75,2.50,3.25,0.00,0.00,1.00,1.25,1.50,5.25,0.50,0.25,1.25,0.50,2.25,6.00,nfalyda01,82,260.2,90,111,9,10,27,33,11.55,3,3,NA,109.80%,92.5,138,144
93,,Nae'Qwan Tomlin,PF,Feb 20 '25 CLE @ BRK,24,1,5,12.60,2.60,6.40,0.40,2.00,1.60,2.20,1.80,4.20,0.40,0.00,0.20,0.40,1.80,7.20,tomlina01,80.3,205,86.5,109,9,10,27.5,32.5,11.63,3.54,3.43,NA,107.80%,90,136.5,141.5
51,,Naji Marshall,SF,Jan 15 '21 NOP @ LAL,23,1,32,21.88,2.56,6.53,0.91,2.59,1.66,2.34,0.47,4.63,2.75,0.81,0.31,1.19,1.81,7.69,marshna01,77.75,233.5,84.75,102.5,9.25,10.5,28.5,35,11.77,2.9,3.37,NA,109.00%,97.1,131,137.5
42,,Nathan Knight,PF-C,Dec 23 '20 ATL @ CHI,23,1,33,8.45,1.12,3.03,0.18,1.00,1.33,1.67,0.82,2.18,0.24,0.27,0.30,0.45,0.67,3.76,knighna01,80,235,86,109.5,9,9.5,23,31.5,11.56,2.96,3.31,NA,107.50%,85.5,132.5,141
89,,Neemias Queta,C,Dec 17 '21 SAC vs. MEM,22,1,15,8.00,1.13,2.53,0.00,0.00,0.73,1.13,0.93,2.07,0.40,0.07,0.53,0.40,1.20,3.00,quetane01,83.25,248.4,88,112.5,9.25,10.5,27,33,11.85,3.5,3.29,NA,105.70%,97.1,139.5,145.5
74,,Nick Richards,C,Dec 30 '20 CHO @ DAL,23,1,18,3.50,0.22,0.50,0.00,0.06,0.39,0.61,0.22,0.61,0.11,0.00,0.00,0.17,0.39,0.83,richani01,82.5,241.6,86.25,110,9,9,30,34,11.42,2.92,3.25,NA,104.50%,81,140,144
1,,Ochai Agbaji,SG,Oct 19 '22 UTA vs. DEN,22,1,59,20.49,2.80,6.54,1.37,3.86,0.95,1.17,0.73,2.05,1.14,0.27,0.25,0.69,1.68,7.92,agbajoc01,76.5,216.8,82.25,104,8.75,9.5,32,39,10.77,3.11,3.13,NA,107.50%,83.1,136,143
