pos,best,average,value1,value2,value3,value4,value5,competitionId,eventId,roundTypeId,personName,personId,formatId,regionalSingleRecord,regionalAverageRecord,personCountryId
1,440,502,476,452,632,578,440,SingaporeMini2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,487,539,633,487,558,540,518,SingaporeMini2023,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,460,481,465,460,514,803,464,SingaporeMini2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,470,546,580,561,496,846,470,XMUMCubeOpen2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,483,622,540,483,950,754,571,XMUMCubeOpen2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,386,497,386,437,499,573,554,XMUMCubeOpen2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,417,557,417,539,570,561,594,IUKLSOR2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,383,451,475,383,402,508,477,IUKLSOR2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,457,504,481,550,618,480,457,IUKLSOR2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,454,491,484,454,514,490,498,ChengduFlashCubeOpen2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,428,527,428,582,495,564,521,ChengduFlashCubeOpen2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,450,460,456,455,489,450,468,ChengduFlashCubeOpen2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,453,541,541,562,621,521,453,ThailandChampionship2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,423,492,539,-1,502,434,423,ThailandChampionship2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,458,585,468,636,650,664,458,ThailandChampionship2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,476,531,621,521,549,522,476,BeaconhouseMalaysiaCubeOpen2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,435,463,554,435,464,461,463,BeaconhouseMalaysiaCubeOpen2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,407,483,923,472,548,430,407,BeaconhouseMalaysiaCubeOpen2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,453,489,453,464,473,632,531,ChongqingOpen2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,427,516,583,530,427,511,508,ChongqingOpen2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,467,498,500,586,477,516,467,ChongqingOpen2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
3,507,537,507,563,540,507,567,HefeiWinterOpen2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
2,477,569,728,555,635,518,477,HefeiWinterOpen2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
3,449,581,485,594,449,665,852,HefeiWinterOpen2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,464,556,500,570,777,464,597,MalaysiaCubeChampionship2023,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,532,564,569,564,560,612,532,MalaysiaCubeChampionship2023,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,417,495,508,443,533,594,417,MalaysiaCubeChampionship2023,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,474,539,718,529,611,474,478,MalaysiaCubeChampionship2023,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,467,528,493,558,1164,467,532,FushunOpen2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,442,487,463,698,442,545,453,FushunOpen2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,407,506,466,499,407,553,590,FushunOpen2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,493,569,580,550,493,578,578,MYHMSingaporeChampionship2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,445,514,528,643,495,519,445,MYHMSingaporeChampionship2024,333,2,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,473,516,473,473,598,-1,476,MYHMSingaporeChampionship2024,333,3,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
1,347,460,449,453,479,596,347,MYHMSingaporeChampionship2024,333,f,Yiheng Wang (王艺衡),2019WANY36,a,AsR,NULL,China
1,476,524,502,482,588,476,702,TwistFriesJohorBahru2024,333,1,Yiheng Wang (王艺衡),2019WANY36,a,NULL,NULL,China
