userAccuracy,opponentAccuracy,gameUrl,gameId,timeClass,fen,userColor,userRating,opponent,opponentRating,opponentUrl,result,wonBy,date,openingUrl,opening,startTime,endTime,outcome,moveCount
88.41,84.28,https://www.chess.com/game/live/751033736?ref_id=74104030,751033736,blitz,8/pp5k/2q4p/3R2p1/6P1/3Qp2P/P2n1RK1/8 b - -,white,2697,vovkcoach,2396,https://www.chess.com/member/vovkcoach,win,resigned,2014.03.13,https://www.chess.com/openings/French-Defense-Kings-Indian-Attack...7.O-O-Bg7-8.c3-O-O,French Defense Kings Indian Attack...7.O O Bg7 8.c3 O O,20:10:42,20:15:31,43,resigned
88.65,76.41,https://www.chess.com/game/live/750930638?ref_id=74104030,750930638,blitz,6rk/7R/7p/3pPpNP/5r2/n7/7K/8 b - -,white,2649,jacobiano,2408,https://www.chess.com/member/jacobiano,win,checkmate,2014.03.13,https://www.chess.com/openings/Queens-Pawn-Opening-Zukertort-Variation...4.Bg2-e6-5.O-O-Nbd7,Queens Pawn Opening Zukertort Variation...4.Bg2 e6 5.O O Nbd7,18:00:06,18:04:16,44,checkmated
88.88,82.43,https://www.chess.com/game/live/751050077?ref_id=74104030,751050077,blitz,8/8/7p/8/1Q6/p6P/k5PK/8 b - -,white,2711,vovkcoach,2388,https://www.chess.com/member/vovkcoach,win,resigned,2014.03.13,https://www.chess.com/openings/Indian-Game-Yusupov-Rubinstein-System...4.c4-d5-5.Nc3-a6-6.cxd5,Indian Game Yusupov Rubinstein System...4.c4 d5 5.Nc3 a6 6.cxd5,20:31:37,20:36:52,58,resigned
89.7,81.34,https://www.chess.com/game/live/750969234?ref_id=74104030,750969234,blitz,q7/5Rpk/2p4p/2NpPNb1/P2P2p1/2P5/2K3P1/7R b - -,white,2680,UnPolarizing,2306,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Pirc-Defense-Czech-Defense-4.f4,Pirc Defense Czech Defense 4.f4,18:49:07,18:53:13,37,resigned
89.93,79.03,https://www.chess.com/game/live/750955148?ref_id=74104030,750955148,blitz,r6k/4n2p/PP4pb/4p1q1/4P3/R1P1NP2/4QP1P/2R4K b - -,white,2668,UnPolarizing,2314,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Sicilian-Defense-Canal-Attack-3...Nd7-4.O-O-a6-5.Bd3,Sicilian Defense Canal Attack 3...Nd7 4.O O a6 5.Bd3,18:31:22,18:35:23,29,resigned
90.76,78.08,https://www.chess.com/game/live/750976218?ref_id=74104030,750976218,blitz,r4r1k/p5b1/1np1b1qp/3p2p1/4p1P1/2P5/PPQ2PPN/1N1RR1K1 w - -,black,2689,UnPolarizing,2300,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Alekhines-Defense-Modern-Schmid-Variation,Alekhines Defense Modern Schmid Variation,18:57:56,19:01:20,23,resigned
91.34,77.91,https://www.chess.com/game/live/750962666?ref_id=74104030,750962666,blitz,8/7p/3p4/1B1P2Qk/4PPp1/7P/2r3PK/5R2 b - -,white,2674,UnPolarizing,2310,https://www.chess.com/member/UnPolarizing,win,checkmate,2014.03.13,https://www.chess.com/openings/Nimzowitsch-Larsen-Attack-Symmetrical-Variation-2.Bb2-Bb7,Nimzowitsch Larsen Attack Symmetrical Variation 2.Bb2 Bb7,18:40:57,18:45:42,38,checkmated
91.48,84.19,https://www.chess.com/game/live/751054353?ref_id=74104030,751054353,blitz,r1b2r2/1p2n1bk/p1Nq2pp/5p2/2P1p3/3P2P1/P2QPPBP/1R3RK1 w - -,black,2714,vovkcoach,2386,https://www.chess.com/member/vovkcoach,win,resigned,2014.03.13,https://www.chess.com/openings/Reti-Opening-Kingside-Fianchetto-Variation-2.c4-Bg7-3.g3,Reti Opening Kingside Fianchetto Variation 2.c4 Bg7 3.g3,20:37:01,20:39:01,17,resigned
91.95,88.44,https://www.chess.com/game/live/751065859?ref_id=74104030,751065859,blitz,2k5/8/2N3p1/1p1p1pPp/p2PnP2/P1P5/1P4P1/2K5 b - f3,white,2723,vovkcoach,2380,https://www.chess.com/member/vovkcoach,win,resigned,2014.03.13,https://www.chess.com/openings/French-Defense-Winawer-Advance-Variation-4...b6-5.Qg4-Bf8,French Defense Winawer Advance Variation 4...b6 5.Qg4 Bf8,20:51:45,20:55:22,38,resigned
92.14,79.02,https://www.chess.com/game/live/750952913?ref_id=74104030,750952913,blitz,r2q2kr/p1pp2pp/1p2Pn2/3N2B1/1bP4Q/2NB1n2/PP1K1P1P/R7 w - -,black,2665,UnPolarizing,2316,https://www.chess.com/member/UnPolarizing,win,resigned,2014.03.13,https://www.chess.com/openings/Queens-Pawn-Opening-English-Defense...4.e4-Bb4-5.Bd3-f5,Queens Pawn Opening English Defense...4.e4 Bb4 5.Bd3 f5,18:28:32,18:31:16,15,resigned
